1,FEC_ID,STATE,STATE_ABBREVIATION,GENERAL_ELECTION_DATE,FIRST_NAME,LAST_NAME,LAST_NAME_FIRST,TOTAL_VOTES,PARTY,GENERAL_RESULTS,TOTAL_VOTES,GENERAL_PERCT,WINNER_INDICATOR
196,P20003208,Kansas,KS,11/6/2012,Jill A.,Reed,"Reed, Jill A.",,W,4,,0.00%,
197,P20005245,Kansas,KS,11/6/2012,Will,Christensen,"Christensen, Will",,W,1,,0.00%,
199,P80003353,Kentucky,KY,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1087190,,60.49%,W
200,P80003338,Kentucky,KY,11/6/2012,Barack,Obama,"Obama, Barack",,D,679370,,37.80%,
201,P20002671,Kentucky,KY,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,17063,,0.95%,
202,P20002424,Kentucky,KY,11/6/2012,Randall A.,Terry,"Terry, Randall A.",,IND,6872,,0.38%,
203,P20003984,Kentucky,KY,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,6337,,0.35%,
204,P20004685,Kentucky,KY,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,245,,0.01%,
205,P20004263,Kentucky,KY,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,W,60,,0.00%,
206,P20005252,Kentucky,KY,11/6/2012,Richard,Duncan,"Duncan, Richard",,W,37,,0.00%,
207,P20005260,Kentucky,KY,11/6/2012,Tom,Hoefling,"Hoefling, Tom",,W,30,,0.00%,
208,P20004677,Kentucky,KY,11/6/2012,Jerry,White,"White, Jerry",,W,4,,0.00%,
209,P20004651,Kentucky,KY,11/6/2012,Stephen,Durham,"Durham, Stephen",,W,2,,0.00%,
210,n/a,Kentucky,KY,11/6/2012,Louis Todd,House,"House, Louis Todd",,W,1,,0.00%,
211,P20002218,Kentucky,KY,11/6/2012,Dennis,Knill,"Knill, Dennis",,W,1,,0.00%,
213,P80003353,Louisiana,LA,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,1152262,,57.78%,W
214,P80003338,Louisiana,LA,11/6/2012,Barack,Obama,"Obama, Barack",,D,809141,,40.58%,
215,P20002671,Louisiana,LA,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,18157,,0.91%,
216,P20003984,Louisiana,LA,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,6978,,0.35%,
217,P20004685,Louisiana,LA,11/6/2012,Virgil,Goode,"Goode, Virgil",,CON,2508,,0.13%,
218,P20002630,Louisiana,LA,11/6/2012,Sheila,Tittle,"Tittle, Sheila",,WTP,1767,,0.09%,
219,P20004263,Louisiana,LA,11/6/2012,Ross,Anderson,"Anderson, Ross",,JUS,1368,,0.07%,
220,P20004636,Louisiana,LA,11/6/2012,Peta,Lindsay,"Lindsay, Peta",,SLP,622,,0.03%,
221,P20000089,Louisiana,LA,11/6/2012,Jack,Fellure,"Fellure, Jack",,P,518,,0.03%,
222,P60004454,Louisiana,LA,11/6/2012,James,Harris,"Harris, James",,SWP,389,,0.02%,
223,P20004677,Louisiana,LA,11/6/2012,Jerry,White,"White, Jerry",,SEP,355,,0.02%,
225,P80003338,Maine,ME,11/6/2012,Barack,Obama,"Obama, Barack",,D,401306,,56.27%,W
226,P80003353,Maine,ME,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,292276,,40.98%,
227,P20002671,Maine,ME,11/6/2012,Gary E.,Johnson,"Johnson, Gary E.",,LIB,9352,,1.31%,
228,P20003984,Maine,ME,11/6/2012,Jill,Stein,"Stein, Jill",,GI,8119,,1.14%,
229,P80000748,Maine,ME,11/6/2012,Ronald E.,Paul,"Paul, Ronald E.",,W,2035,,0.29%,
230,P20004263,Maine,ME,11/6/2012,Ross C.,Anderson,"Anderson, Ross C.",,W,62,,0.01%,
231,P20003208,Maine,ME,11/6/2012,Jill Ann,Reed,"Reed, Jill Ann",,W,30,,0.00%,
233,P80003338,Maryland,MD,11/6/2012,Barack,Obama,"Obama, Barack",,D,1677844,,61.97%,W
234,P80003353,Maryland,MD,11/6/2012,Mitt,Romney,"Romney, Mitt",,R,971869,,35.90%,
235,P20002671,Maryland,MD,11/6/2012,Gary,Johnson,"Johnson, Gary",,LIB,30195,,1.12%,
236,P20003984,Maryland,MD,11/6/2012,Jill,Stein,"Stein, Jill",,GRE,17110,,0.63%,
237,n/a,Maryland,MD,11/6/2012,,Other,Other,,W,8788,,0.32%,
238,P20005146,Maryland,MD,11/6/2012,Santa,Claus,"Claus, Santa",,W,625,,0.02%,
239,P20004685,Maryland,MD,11/6/2012,Virgil,Goode,"Goode, Virgil",,W,418,,0.02%,
240,P20004263,Maryland,MD,11/6/2012,"Ross C. ""Rocky""",Anderson,"Anderson, Ross C. ""Rocky""",,W,204,,0.01%,
