"","South_Dakota_Counties","Democrat","Republican","Others","Year","Voter_turnout_percent","dem_percent","rep_percent","others_percent","County_IND"
"220","Edmunds",676,1257,53,2000,65.68,34.971546818417,65.028453181583,2.74185204345577,22
"221","Fall river",1133,2185,111,2000,69.43,34.1470765521398,65.8529234478601,3.34538878842676,23
"222","Faulk",388,904,37,2000,76.3,30.030959752322,69.969040247678,2.86377708978328,24
"223","Grant",1475,2235,120,2000,74.46,39.7574123989218,60.2425876010782,3.23450134770889,25
"224","Gregory",718,1487,52,2000,66.98,32.562358276644,67.437641723356,2.35827664399093,26
"225","Haakon",164,938,27,2000,71.64,14.8820326678766,85.1179673321234,2.45009074410163,27
"226","Hamlin",923,1731,69,2000,74.32,34.7776940467219,65.2223059532781,2.59984928409947,28
"227","Hand",565,1419,47,2000,70.18,28.4778225806452,71.5221774193548,2.36895161290323,29
"228","Hanson",457,944,20,2000,62,32.6195574589579,67.3804425410421,1.42755174875089,30
"229","Harding",64,650,17,2000,75.61,8.96358543417367,91.0364145658263,2.38095238095238,31
"230","Hughes",2212,5188,134,2000,70.05,29.8918918918919,70.1081081081081,1.81081081081081,32
"231","Hutchinson",1052,2497,76,2000,67.28,29.6421527190758,70.3578472809242,2.14144829529445,33
"232","Hyde",218,592,25,2000,68.56,26.9135802469136,73.0864197530864,3.08641975308642,34
"233","Jackson",319,687,34,2000,62.53,31.7097415506958,68.2902584493042,3.37972166998012,35
"234","Jerauld",468,624,30,2000,72.78,42.8571428571429,57.1428571428571,2.74725274725275,36
"235","Jones",137,509,18,2000,78.45,21.2074303405573,78.7925696594427,2.78637770897833,37
"236","Kingsbury",1049,1612,66,2000,69.4,39.4212701991732,60.5787298008268,2.48027057497182,38
"237","Lake",2331,2724,99,2000,69.67,46.1127596439169,53.8872403560831,1.95845697329377,39
"238","Lawerence",2797,6327,282,2000,65.44,30.6554142919772,69.3445857080228,3.09074967119684,40
"239","Lincoln",3844,6546,166,2000,74.67,36.9971126082772,63.0028873917228,1.59769008662175,41
"240","Lyman",482,875,29,2000,61.23,35.5195283714075,64.4804716285925,2.13706705969049,42
"241","Marshall",965,1610,56,2000,71.8,37.4757281553398,62.5242718446602,2.1747572815534,43
"242","McCook",295,1073,49,2000,68.6,21.5643274853801,78.4356725146199,3.58187134502924,44
"243","McPherson",939,1097,43,2000,65.45,46.1198428290766,53.8801571709234,2.11198428290766,45
"244","Meade",2267,6870,229,2000,64.02,24.8112071795994,75.1887928204006,2.50629309401335,46
"245","Mellette",222,495,16,2000,59.89,30.9623430962343,69.0376569037657,2.23152022315202,47
"246","Miner",523,724,19,2000,67.28,41.9406575781877,58.0593424218124,1.52365677626303,48
"247","Minnehaha",27042,33428,899,2000,72.17,44.7196957168844,55.2803042831156,1.48668761369274,49
"248","Moody",1318,1361,56,2000,72.41,49.197461739455,50.802538260545,2.0903322135125,50
"249","Pennington",11123,24696,738,2000,69.6,31.0533515731874,68.9466484268126,2.06035902733186,51
"250","Perkins",297,1237,80,2000,67.81,19.361147327249,80.638852672751,5.21512385919166,52
"251","Potter",356,1112,26,2000,70.84,24.2506811989101,75.7493188010899,1.77111716621253,53
"252","Roberts",1700,2237,137,2000,68.22,43.1800863601727,56.8199136398273,3.47980695961392,54
"253","Sanbron",468,767,33,2000,67.63,37.8947368421053,62.1052631578947,2.67206477732794,55
"254","Shannon",1667,252,34,2000,38.35,86.8681605002605,13.1318394997394,1.77175612298072,56
"255","Spink",1274,1957,53,2000,69.47,39.4305168678428,60.5694831321572,1.64035902197462,57
"256","Stanely",402,955,24,2000,68.7,29.6241709653648,70.3758290346352,1.76860722181282,58
"257","Sully",209,633,29,2000,72.61,24.8218527315914,75.1781472684086,3.44418052256532,59
"258","Todd",993,478,23,2000,39.41,67.5050985723997,32.4949014276003,1.56356220258328,60
"259","Tripp",799,1909,57,2000,71.32,29.5051698670606,70.4948301329394,2.10487444608567,61
"260","Turner",1414,2514,76,2000,70.39,35.9979633401222,64.0020366598778,1.93482688391039,62
"261","Union",2358,3265,149,2000,68.77,41.9349101902899,58.0650898097101,2.64983105104037,63
"262","Walworth",721,1758,74,2000,64.4,29.0843081887858,70.9156918112142,2.98507462686567,64
"263","Yankton",3596,4904,240,2000,67.98,42.3058823529412,57.6941176470588,2.82352941176471,66
"264","Ziebach",314,384,23,2000,49.73,44.9856733524355,55.0143266475645,3.29512893982808,67
"265","Aurora",664,709,214,1996,75.8,48.3612527312454,51.6387472687545,15.5863073561544,1
"266","Beadle",3984,3670,927,1996,72.6,52.0512150509538,47.9487849490462,12.1113143454403,2
"267","Bennett",507,539,99,1996,60.2,48.4703632887189,51.5296367112811,9.46462715105163,3
"268","Bon Homme",1569,1428,439,1996,73.6,52.3523523523523,47.6476476476476,14.647981314648,4
"269","Brookings",5105,5112,1055,1996,67.3,49.965743368895,50.034256631105,10.3259273759421,5
"270","Brown",7913,681,1733,1996,72.6,92.0758668838725,7.92413311612753,20.1652315569002,6
"271","Brule",1091,981,332,1996,67.9,52.6544401544402,47.3455598455598,16.023166023166,7
"272","Buffalo",465,134,41,1996,67.9,77.6293823038397,22.3706176961603,6.84474123539232,8
"273","Butte",1132,1947,578,1996,71.2,36.7651835011367,63.2348164988633,18.7723286781423,9
"274","Campbell",202,623,145,1996,64.2,24.4848484848485,75.5151515151515,17.5757575757576,10
"275","Charles Mix",1913,1711,411,1996,71.7,52.7869757174393,47.2130242825607,11.341059602649,11
"276","Clark",956,998,288,1996,75.8,48.9252814738997,51.0747185261003,14.7389969293756,12
"277","Clay",2980,2008,584,1996,60.2,59.7433841218925,40.2566158781075,11.7080994386528,13
"278","Codington",4722,4995,1338,1996,72.9,48.5952454461253,51.4047545538747,13.7696820006175,14
"279","Corson",539,533,228,1996,55.6,50.2798507462687,49.7201492537313,21.2686567164179,15
"280","Custer",1122,1740,495,1996,67.1,39.2033542976939,60.7966457023061,17.2955974842767,16
"281","Davison",3364,3371,793,1996,71.1,49.9480326651819,50.0519673348181,11.7743132887899,17
"282","Day",1840,1282,411,1996,75.4,58.9365791159513,41.0634208840487,13.1646380525304,18
"283","Deuel",1090,955,304,1996,76.7,53.3007334963325,46.6992665036675,14.8655256723716,19
"284","Dewey",1114,657,208,1996,58.1,62.9023150762281,37.0976849237719,11.7447769621683,20
"285","Douglas",524,1210,175,1996,77,30.2191464821223,69.7808535178777,10.0922722029988,21
"286","Edmunds",973,1055,282,1996,74.5,47.9783037475345,52.0216962524655,13.905325443787,22
